,Innings Player,Innings Wickets Taken,last_five_matches_wickets,Average over bowled in 5 mts,total maiden over last 5 mts,Average runs conceed in last 5 mts,Average economy last 5 mts,match year 2018 or not,home away,oppo,fast or spin
0,RA Jadeja,0,0.0,7.0,0.0,34.0,4.85,0.0,0.0,0.0,0.0
1,RA Jadeja,0,0.0,7.0,0.0,34.0,4.85,0.0,0.0,0.0,0.0
2,RA Jadeja,0,0.0,7.0,0.0,34.0,4.85,0.0,0.0,0.0,0.0
3,RA Jadeja,0,0.0,7.0,1.0,34.0,4.85,0.0,0.0,0.0,0.0
4,RA Jadeja,0,0.0,7.0,2.0,34.0,4.85,0.0,0.0,0.0,0.0
5,RA Jadeja,0,0.0,6.6,3.0,36.4,5.574000000000001,0.0,0.0,0.0,0.0
6,RA Jadeja,0,0.0,5.8,3.0,30.8,5.442,0.0,0.0,0.0,0.0
7,RA Jadeja,0,0.0,5.0,3.0,25.2,5.31,0.0,0.0,0.0,0.0
8,RA Jadeja,0,0.0,4.0,2.0,20.8,5.54,0.0,0.0,0.0,0.0
9,RA Jadeja,1,3.0,6.2,1.0,21.8,5.436,0.0,1.0,1.0,0.0
10,RA Jadeja,1,1.0,4.4,0.0,22.8,5.331999999999999,0.0,1.0,1.0,0.0
11,RA Jadeja,1,2.0,4.8,0.0,28.2,4.997999999999999,0.0,1.0,1.0,0.0
12,RA Jadeja,3,6.0,7.0,0.0,32.8,4.8740000000000006,0.0,1.0,1.0,0.0
13,RA Jadeja,3,9.0,7.8,0.0,37.4,4.75,0.0,1.0,1.0,0.0
14,RA Jadeja,3,11.0,7.2,0.0,36.6,4.959999999999999,0.0,1.0,1.0,0.0
15,RA Jadeja,2,12.0,7.8,1.0,37.0,5.004,0.0,1.0,1.0,0.0
16,RA Jadeja,2,12.0,7.2,2.0,37.4,5.048,0.0,1.0,1.0,0.0
17,RA Jadeja,2,13.0,7.2,3.0,38.6,4.882,0.0,1.0,1.0,0.0
18,RA Jadeja,0,4.0,7.8,3.0,37.0,4.5760000000000005,0.0,1.0,1.0,0.0
19,RA Jadeja,0,9.0,8.0,3.0,35.4,4.2700000000000005,0.0,1.0,1.0,0.0
20,RA Jadeja,0,6.0,8.2,2.0,32.6,4.130000000000001,0.0,1.0,1.0,0.0
21,RA Jadeja,0,2.0,7.0,1.0,33.2,4.98,0.0,1.0,1.0,0.0
22,RA Jadeja,0,0.0,6.2,0.0,33.8,5.83,0.0,1.0,1.0,0.0
23,RA Jadeja,0,0.0,5.8,0.0,37.2,6.82,0.0,1.0,1.0,0.0
24,RA Jadeja,0,0.0,6.4,1.0,39.0,6.7700000000000005,0.0,1.0,1.0,0.0
25,RA Jadeja,0,0.0,7.0,2.0,40.8,6.720000000000001,0.0,1.0,1.0,0.0
26,RA Jadeja,0,0.0,8.0,3.0,39.2,5.6800000000000015,0.0,1.0,1.0,0.0
27,RA Jadeja,0,0.0,9.2,3.0,45.0,5.744,0.0,1.0,0.0,0.0
28,RA Jadeja,0,0.0,8.6,3.0,50.8,5.808,0.0,1.0,0.0,0.0
29,RA Jadeja,0,0.0,8.8,2.0,58.2,6.911999999999999,0.0,1.0,0.0,0.0
30,RA Jadeja,0,0.0,8.6,1.0,59.4,7.107999999999999,0.0,1.0,0.0,0.0
31,RA Jadeja,0,0.0,8.4,0.0,60.6,7.303999999999999,0.0,1.0,0.0,0.0
32,RA Jadeja,0,0.0,8.6,0.0,54.4,6.395999999999999,0.0,1.0,0.0,0.0
33,RA Jadeja,4,8.0,9.4,0.0,46.2,5.212,0.0,0.0,0.0,0.0
34,RA Jadeja,4,12.0,9.6,0.0,38.0,4.0280000000000005,0.0,0.0,0.0,0.0
35,RA Jadeja,4,4.0,9.0,0.0,36.0,3.752,0.0,0.0,0.0,0.0
36,RA Jadeja,0,12.0,9.6,1.0,37.8,3.968,0.0,1.0,0.0,0.0
